What is S3 durability?, "99.999999999% (11 9's)"
"Which S3 doesn't have 11 9's of durability?", "S3 Reduced Redundancy Storage (RRS) with 99.99%"
"What is Direct Connect?", "Is a dedicated network connection from your premises to AWS, which bypasses the internet"
"What is CloudTrail used for?", "audit AWS Infrastructure. Log, monitor, and account activity related to actions across your AWS infrastructure"
"What is CloudFront?", "A CDN"
"How do you limit access to some files using CloudFront?", "signed URLs or signed cookies"
What would happen to RDS if the primary database instance fails with 1 or more replicas already existing?, "DNS record for the DB instance points to the standby DB instance"
"How can you configure your account to ensure that the access to your resources are secured and not compromised?", "Multifactor Auth and assign IAM role to EC2 instance"
When can you attach an ENI to an instance?, "running (hot attach), stopped (warm attach) or being launched (cold attach)"
How can you control access for several S3 buckets using gateway endpoint?, "Generate an endpoint policy for trusted S3 buckets"
"What is the meaning of VPN in VPC the aws documentation?", "Is a connection between your VPC and your own network"
How do you enable access to your network from your VPC?, "attaching a virtual private gateway to the VPC, creating a custom route table, updating your Security Group rules, and creating an AWS managed VPN connection"
What is customer gateway?, physical device or software application on your side of the VPN connection
How do you automatically route live traffic on DR to another env?, "use route53 with failover routing policy"
Can AWS Storage gateway be used to copy large sets of data to AWS?, "no, Storage Gateway provides low-latency access to data by caching frequently accessed data on-premises"
Recommened load balancer for flexible application management and TLS termination?, Application Load Balancer
Recommended load balancer for extreme performance and static IP?, Network Load Balancer
Recommended load balancer for app within EC2 classic network?, Classic Load balancer
Which load balancer supports path-based and host-based routing?, Application Load Balancer
Does SQS automatically deletes messages?, No
"Which service is used to assess, audit, and evaluate the configurations of your AWS resources?", AWS Config
Which is the lowest cost HDD volume designed for less frequently accessed workloads?, Cold HDD (sc1)
"What is active-passive failover with multiple primary and secondary resources?", "Route 53 considers the primary failover record to be healthy as long as at least one of the associated resources is healthy"
"What is active-passive failover with one primary and one secondary resource?", "When the primary resource is unhealthy, Route 53 responds to DNS queries using the secondary record"
